timestamp,interaction_id,csat,ies,complaints,aht_seconds,hold_time_seconds,transfers,channel,language,queue
2025-05-07T10:51:57Z,tra_0001,4.3,77.0,0,245,9,0,voice,fr,billing
2025-04-05T15:41:08Z,tra_0002,4.3,65.8,0,279,36,1,chat,en,support
2025-02-05T14:32:08Z,tra_0003,4.2,87.8,0,441,6,0,voice,en,support
2025-04-06T11:59:24Z,tra_0004,4.6,66.0,0,353,8,0,email,en,billing
2025-04-02T11:35:43Z,tra_0005,4.0,89.8,0,236,30,1,voice,fr,support
2025-05-08T14:00:37Z,tra_0006,4.9,76.5,0,356,0,0,voice,es,billing
2025-01-13T09:35:36Z,tra_0007,3.5,70.1,0,376,58,0,voice,es,support
2025-04-16T12:24:03Z,tra_0008,4.6,67.5,1,305,17,0,chat,fr,support
2025-05-09T09:52:43Z,tra_0009,4.4,53.1,0,351,37,0,voice,en,billing
2025-01-10T16:25:25Z,tra_0010,4.5,93.1,0,319,0,0,voice,es,sales
2025-02-25T12:27:25Z,tra_0011,4.8,57.0,0,361,56,0,voice,es,support
2025-05-31T11:44:15Z,tra_0012,4.6,87.6,0,264,50,0,voice,es,billing
2025-04-17T10:35:04Z,tra_0013,3.9,82.9,0,202,30,0,email,en,support
2025-04-25T14:37:27Z,tra_0014,4.1,88.0,0,222,57,0,chat,en,support
2025-03-22T11:15:37Z,tra_0015,3.9,82.1,0,378,50,0,email,fr,billing
2025-05-02T12:50:41Z,tra_0016,4.2,80.1,0,429,15,0,voice,en,support
2025-01-13T13:48:56Z,tra_0017,4.7,74.3,0,383,11,0,voice,es,support
2025-07-30T10:59:10Z,tra_0018,3.1,45.9,2,781,149,2,voice,de,billing
2025-05-23T10:49:26Z,tra_0019,4.5,79.3,0,394,29,0,chat,en,support
2025-06-14T09:59:49Z,tra_0020,3.8,74.1,0,501,31,1,voice,es,billing
2025-07-19T15:16:41Z,tra_0021,1.8,49.5,4,605,168,3,voice,en,billing
2025-02-15T14:50:28Z,tra_0022,3.9,83.7,1,338,10,0,chat,en,support
2025-04-04T12:44:24Z,tra_0023,4.2,69.1,0,372,62,0,voice,en,billing
2025-03-04T13:11:02Z,tra_0024,1.6,40.4,3,633,155,3,chat,fr,support
2025-04-10T13:31:30Z,tra_0025,4.9,93.2,0,290,19,0,voice,en,billing
2025-07-27T14:53:40Z,tra_0026,2.6,55.4,2,728,119,4,voice,en,support
2025-02-10T12:15:38Z,tra_0027,4.2,74.7,0,228,19,0,voice,fr,billing
2025-06-15T16:47:44Z,tra_0028,3.9,82.3,0,367,55,0,email,en,support
2025-05-13T08:57:59Z,tra_0029,3.4,79.7,0,357,24,0,chat,en,support
2025-06-27T09:34:16Z,tra_0030,4.1,85.0,0,328,34,0,voice,en,support
2025-01-08T16:05:13Z,tra_0031,3.9,69.6,0,355,26,0,chat,en,support
2025-02-24T09:04:56Z,tra_0032,4.7,69.8,0,356,47,0,voice,en,support
2025-04-04T12:51:56Z,tra_0033,4.7,72.8,0,172,7,0,voice,en,sales
2025-04-10T08:17:25Z,tra_0034,5.0,69.6,1,138,0,0,chat,en,support
2025-06-17T10:21:21Z,tra_0035,4.5,87.5,0,314,11,0,voice,en,billing
2025-03-09T15:04:48Z,tra_0036,3.9,79.5,0,254,6,0,voice,en,support
2025-04-23T10:31:07Z,tra_0037,3.7,69.0,0,127,18,0,voice,en,billing
2025-01-07T14:16:58Z,tra_0038,4.9,68.1,0,403,28,0,chat,en,support
2025-03-22T10:16:33Z,tra_0039,3.9,94.2,1,362,22,0,chat,es,billing
2025-05-14T08:34:55Z,tra_0040,5.0,99.9,0,348,42,1,voice,en,support
2025-04-22T10:59:58Z,tra_0041,4.1,86.2,0,304,25,0,voice,fr,billing
2025-01-02T08:38:31Z,tra_0042,4.4,77.2,0,364,20,1,voice,es,billing
2025-06-18T12:14:48Z,tra_0043,4.1,93.1,0,311,69,0,voice,es,billing
2025-02-01T14:20:48Z,tra_0044,3.9,88.3,0,366,28,0,voice,fr,billing
2025-01-07T09:11:05Z,tra_0045,3.4,58.1,1,723,122,3,voice,es,support
2025-01-02T09:26:57Z,tra_0046,4.0,86.0,0,327,36,0,voice,es,billing
2025-04-08T15:14:21Z,tra_0047,4.7,76.3,0,423,22,0,voice,fr,support
2025-03-12T09:13:21Z,tra_0048,4.3,72.8,0,409,66,0,email,en,support
2025-02-06T09:18:54Z,tra_0049,3.4,96.1,0,310,53,0,voice,en,support
2025-02-17T14:02:28Z,tra_0050,4.0,86.1,0,360,24,0,voice,es,sales
2025-03-17T17:22:58Z,tra_0051,3.4,78.2,0,293,49,0,voice,es,billing
2025-06-16T09:31:01Z,tra_0052,3.9,73.7,0,381,70,0,voice,es,billing
2025-04-11T15:33:19Z,tra_0053,5.0,79.6,0,296,48,0,email,es,billing
2025-06-13T13:10:02Z,tra_0054,3.7,87.3,0,363,41,0,voice,en,billing
2025-03-03T17:54:55Z,tra_0055,4.3,84.5,1,205,25,0,chat,en,support
2025-06-09T14:37:59Z,tra_0056,4.3,74.5,0,389,32,0,voice,es,billing
2025-03-03T09:34:30Z,tra_0057,4.4,83.7,0,382,34,0,voice,de,sales
2025-04-30T15:07:50Z,tra_0058,2.2,34.8,1,631,67,3,chat,es,support
2025-02-21T09:23:46Z,tra_0059,3.9,91.9,0,359,55,0,chat,en,support
2025-02-22T12:26:34Z,tra_0060,4.7,79.0,0,282,8,0,voice,fr,billing
2025-01-25T12:06:17Z,tra_0061,4.2,49.9,0,368,27,0,voice,en,support
2025-06-10T14:43:20Z,tra_0062,4.6,78.5,0,237,21,0,chat,fr,billing
2025-05-03T15:14:29Z,tra_0063,3.8,90.1,0,327,19,0,voice,en,billing
2025-01-04T12:58:19Z,tra_0064,4.6,73.1,0,217,52,0,email,en,support
2025-01-28T10:50:36Z,tra_0065,5.0,48.3,0,248,53,0,chat,de,sales
2025-06-14T14:19:08Z,tra_0066,4.2,85.0,0,376,44,0,voice,en,support
2025-02-26T13:21:26Z,tra_0067,3.9,74.4,0,478,44,1,email,en,sales
2025-06-01T09:50:53Z,tra_0068,2.3,26.1,3,609,149,3,voice,es,support
2025-05-06T15:27:33Z,tra_0069,4.4,76.7,1,308,55,1,chat,en,billing
2025-02-28T12:22:18Z,tra_0070,4.2,70.5,0,242,19,1,chat,en,support
2025-04-18T08:25:58Z,tra_0071,4.3,72.1,0,397,47,0,voice,en,billing
2025-01-17T12:44:16Z,tra_0072,4.4,90.4,0,430,56,0,voice,en,support
2025-03-14T13:50:52Z,tra_0073,2.9,74.8,0,278,8,0,chat,en,support
2025-02-28T08:05:11Z,tra_0074,4.2,63.5,0,281,38,0,chat,en,billing
2025-03-01T08:09:59Z,tra_0075,4.7,80.4,0,519,35,1,email,de,billing
2025-06-14T10:19:22Z,tra_0076,4.3,71.8,0,214,52,0,chat,en,support
2025-01-21T09:43:13Z,tra_0077,4.0,74.4,0,238,17,0,voice,en,support
2025-05-15T15:41:29Z,tra_0078,4.0,72.1,0,342,21,0,email,fr,billing
2025-06-22T12:07:14Z,tra_0079,3.3,91.3,1,225,49,0,voice,en,billing
2025-02-11T14:03:12Z,tra_0080,4.0,88.3,0,280,36,0,voice,en,support
2025-07-02T16:26:47Z,tra_0081,3.9,100.0,0,120,57,0,voice,en,support
2025-01-21T15:49:46Z,tra_0082,4.2,83.1,0,305,23,0,chat,en,support
2025-04-19T10:13:42Z,tra_0083,4.7,65.2,0,191,69,0,voice,en,support
2025-03-20T08:43:05Z,tra_0084,3.3,70.7,0,263,58,0,voice,en,billing
2025-04-29T14:34:26Z,tra_0085,4.0,72.5,0,430,15,0,voice,en,support
2025-03-05T11:05:47Z,tra_0086,4.1,85.9,0,241,34,0,voice,en,support
2025-03-09T15:16:28Z,tra_0087,4.7,63.1,0,354,63,0,voice,fr,support
2025-03-03T13:06:44Z,tra_0088,4.2,76.9,0,281,41,0,voice,en,support
2025-07-01T13:01:47Z,tra_0089,4.2,81.2,0,462,3,0,voice,es,billing
2025-06-06T17:55:57Z,tra_0090,4.5,77.0,0,475,35,0,email,en,sales
2025-05-30T14:36:21Z,tra_0091,3.8,71.0,0,326,8,0,chat,es,billing
2025-06-09T13:30:13Z,tra_0092,3.6,86.9,1,372,60,0,voice,en,support
2025-07-05T14:05:51Z,tra_0093,4.4,81.8,0,281,0,1,voice,fr,billing
2025-01-23T08:14:16Z,tra_0094,4.5,86.8,0,187,14,1,voice,en,billing
2025-03-06T11:17:52Z,tra_0095,3.3,87.4,0,374,54,0,email,es,support
